Rank,Movie_name,URL,Release_Year,IMDB_Rating,Metascore,Reviewer_count,Censor_Board_Rating,Movie_Length,Genre_1,Genre_2,Genre_3,Genre_4,Release_Date,Story_Summary,Director,Writer_1,Writer_2,Writer_3,Star_1,Star_2,Star_3,Star_4,Star_5,Plot_Keywords,Budget,Gross_USA,Cum_Worldwide_Gross,Production_Company
1,Goodfellas,https://www.imdb.com/title/tt0099685/,1990,8.7,90,"983,254",16,2h 26min,Biography,Crime,Drama, ,21 September 1990 (USA),"The story ofHenry Hilland his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,Nicholas Pileggi(book),Nicholas Pileggi(screenplay), ,Robert De Niro,Ray Liotta,Joe Pesci, , ,gangster|organized crime|sadistic psychopath|mafia|rise and fall,"$25,000,000(estimated)","$46,836,214","$46,879,633",Warner Bros.
2,Home Alone,https://www.imdb.com/title/tt0099785/,1990,7.6,63,"448,940",Not Rated,1h 43min,Comedy,Family, , ,15 March 1991 (Israel),An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Chris Columbus,John Hughes, , ,Macaulay Culkin,Joe Pesci,Daniel Stern, , ,christmas|home alone|burglary|child protagonist|booby trap,"$18,000,000(estimated)","$285,761,243","$477,063,114","Hughes Entertainment,Twentieth Century Fox"
3,Edward Scissorhands,https://www.imdb.com/title/tt0099487/,1990,7.9,74,"435,025",PG,1h 45min,Drama,Fantasy,Romance, ,14 December 1990 (USA),"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Tim Burton,Tim Burton(story),Caroline Thompson(story), ,Johnny Depp,Winona Ryder,Dianne Wiest, , ,scissors|compassion|surrealism|waterbed|love,"$20,000,000(estimated)","$56,362,352","$86,024,005",Twentieth Century Fox
4,Back to the Future Part III,https://www.imdb.com/title/tt0099088/,1990,7.4,55,"389,988",Not Rated,1h 58min,Adventure,Comedy,Sci-Fi, ,20 July 1990 (Israel),"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",Robert Zemeckis,Robert Zemeckis(characters),Bob Gale(characters),3 more credits»,Michael J. Fox,Christopher Lloyd,Mary Steenburgen, , ,year 1955|year 1885|woman|purple dress|girl next door,"$40,000,000(estimated)","$88,277,583","$249,130,916","Universal Pictures,Amblin Entertainment,U-Drive Productions"
5,The Godfather: Part III,https://www.imdb.com/title/tt0099674/,1990,7.6,60,"347,836",PG,2h 42min,Crime,Drama, , ,25 December 1990 (USA),"In the midst of trying to legitimize his business dealings in New York City and Italy in 1979, aging Mafia Don Michael Corleone seeks to avow for his sins, while taking his nephew Vincent Mancini under his wing.",Francis Ford Coppola,Mario Puzo,Francis Ford Coppola, ,Al Pacino,Diane Keaton,Andy Garcia, , ,opera|vatican|italy|gangster|catholic church,"$54,000,000(estimated)","$66,666,062","$136,766,062","Paramount Pictures,Zoetrope Studios"
6,Die Hard 2,https://www.imdb.com/title/tt0099423/,1990,7.2,67,"328,109",Not Rated,2h 4min,Action,Thriller, , ,3 July 1990 (USA),"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",Renny Harlin,Walter Wager(novel),Steven E. de Souza(screenplay), ,Bruce Willis,William Atherton,Bonnie Bedelia, , ,john mcclane character|opening action scene|bravery|radar|detective,"$70,000,000(estimated)","$117,540,947","$240,247,433","Twentieth Century Fox,Gordon Company,Silver Pictures"
7,Total Recall,https://www.imdb.com/title/tt0100802/,1990,7.5,57,"292,943",Not Rated,1h 53min,Action,Sci-Fi,Thriller, ,1 June 1990 (USA),"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",Paul Verhoeven,"Philip K. Dick(short story ""We Can Remember It For You Wholesale"") (as Phillip K. Dick)",Ronald Shusett(screen story),5 more credits»,Arnold Schwarzenegger,Sharon Stone,Michael Ironside, , ,implanted memory|false memory|space colony|ambiguous ending|memory,"$65,000,000(estimated)","$119,412,921","$261,317,921","Carolco Pictures,Carolco International N.V."
8,Pretty Woman,https://www.imdb.com/title/tt0100405/,1990,7.0,51,"279,427",R,1h 59min,Comedy,Romance, , ,6 July 1990 (Israel),"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",Garry Marshall,J.F. Lawton, , ,Richard Gere,Julia Roberts,Jason Alexander, , ,hotel|falling in love with a prostitute|prostitute|blockbuster|businessman,"$14,000,000(estimated)","$178,406,268","$463,406,268","Touchstone Pictures,Silver Screen Partners IV"
9,Dances with Wolves,https://www.imdb.com/title/tt0099348/,1990,8.0,72,"233,633",Not Rated,3h 1min,Adventure,Drama,Western, ,22 March 1991 (Israel),"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Kevin Costner,Michael Blake(screenplay),Michael Blake(novel), ,Kevin Costner,Mary McDonnell,Graham Greene, , ,friendship|native american|19th century|wolf|famous score,"$22,000,000(estimated)","$184,208,848","$424,208,848","Tig Productions,Majestic Films International,Allied Filmmakers"
10,Ghost,https://www.imdb.com/title/tt0099653/,1990,7.0,52,"190,782",Not Rated,2h 7min,Drama,Fantasy,Romance, ,5 October 1990 (Israel),"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",Jerry Zucker,Bruce Joel Rubin, , ,Patrick Swayze,Demi Moore,Whoopi Goldberg, , ,pottery|death|blood|film blanc|invisibility,"$22,000,000(estimated)","$217,631,306","$505,870,681","Paramount Pictures,Howard W. Koch Productions"
11,Misery,https://www.imdb.com/title/tt0100157/,1990,7.8,75,"177,691",Not Rated,1h 47min,Drama,Thriller, , ,30 November 1990 (USA),"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Rob Reiner,Stephen King(novel),William Goldman(screenplay), ,James Caan,Kathy Bates,Richard Farnsworth, , ,female psychopath|obsessed fan|broken leg|typewriter|brutality,"$20,000,000(estimated)","$61,276,872","$61,276,872","Castle Rock Entertainment,Nelson Entertainment"
12,The Hunt for Red October,https://www.imdb.com/title/tt0099810/,1990,7.6,58,"173,707",Not Rated,2h 15min,Action,Adventure,Thriller, ,2 March 1990 (USA),"In November 1984, the Soviet Union's best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?",John McTiernan,Tom Clancy(novel),Larry Ferguson(screenplay), ,Sean Connery,Alec Baldwin,Scott Glenn, , ,soviet submarine|cold war era|defection|submarine|navy,"$30,000,000(estimated)","$122,012,643","$200,512,643","Paramount Pictures,Mace Neufeld Productions,Nina Saxon Film Design"
13,Predator 2,https://www.imdb.com/title/tt0100403/,1990,6.3,46,"142,598",R,1h 48min,Action,Horror,Sci-Fi, ,10 May 1991 (Israel),"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles.",Stephen Hopkins,Jim Thomas(characters),John Thomas(characters),2 more credits»,Danny Glover,Gary Busey,Kevin Peter Hall, , ,alien|city|cop|gang|chase,"$35,000,000(estimated)","$30,669,413","$57,120,318","Davis Entertainment,Lawrence Gordon Productions,Silver Pictures"
14,Kindergarten Cop,https://www.imdb.com/title/tt0099938/,1990,6.1,61,"132,486",Not Rated,1h 51min,Comedy,Crime, , ,21 December 1990 (USA),"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",Ivan Reitman,Murray Salem(story),Murray Salem(screenplay),2 more credits»,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed, , ,holster|shoulder holster|shoulder|good versus evil|evil man,"$15,000,000(estimated)","$91,457,688","$201,957,688","Imagine Entertainment,Universal Pictures"
15,Rocky V,https://www.imdb.com/title/tt0100507/,1990,5.3,55,"123,603",Not Rated,1h 44min,Drama,Sport, , ,16 November 1990 (USA),"Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success.",John G. Avildsen,Sylvester Stallone, , ,Sylvester Stallone,Talia Shire,Burt Young, , ,rocky balboa jr character|boxing|training|punching|sweat,"$42,000,000(estimated)","$40,946,358","$119,946,358","United Artists,Chartoff-Winkler Productions,Star Partners III Ltd."
16,Miller's Crossing,https://www.imdb.com/title/tt0100150/,1990,7.7,66,"123,170",Not Rated,1h 55min,Crime,Drama,Thriller, ,5 October 1990 (USA),"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Joel Coen,Joel Coen,Ethan Coen, ,Gabriel Byrne,Albert Finney,John Turturro, , ,irish mob|loyalty|organized crime|betrayal|character's point of view camera shot,"$14,000,000(estimated)","$5,080,409","$5,080,409","Circle Films,Twentieth Century Fox"
17,Awakenings,https://www.imdb.com/title/tt0099077/,1990,7.8,74,"119,648",Not Rated,2h 1min,Biography,Drama, , ,11 January 1991 (USA),"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Penny Marshall,Oliver Sacks(book) (as Oliver Sacks M.D.),Steven Zaillian(screenplay), ,Robert De Niro,Robin Williams,Julie Kavner, , ,psychiatric hospital|drug testing|catatonia|encephalitis lethargica|year 1969,"$31,000,000(estimated)","$52,096,475","$52,096,475","Columbia Pictures,Parkes/Lasker productions"
18,Tremors,https://www.imdb.com/title/tt0100814/,1990,7.1,65,"116,544",Not Rated,1h 36min,Comedy,Horror, , ,19 January 1990 (USA),Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one.,Ron Underwood,S.S. Wilson(story),Brent Maddock(story),3 more credits»,Kevin Bacon,Fred Ward,Finn Carter, , ,desert|giant worm|stranded on rooftop|monster|first part,"$11,000,000(estimated)","$16,667,084","$16,667,084","Universal Pictures,No Frills Film Production,Wilson-Maddock Production"
19,Jacob's Ladder,https://www.imdb.com/title/tt0099871/,1990,7.5,62,"96,137",Not Rated,1h 53min,Drama,Horror,Mystery, ,2 November 1990 (USA),"Mourning his dead child, a haunted Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death.",Adrian Lyne,Bruce Joel Rubin, , ,Tim Robbins,Elizabeth Peña,Danny Aiello, , ,soldier|vietnam|new york|delusion|vietnam war veteran,"$25,000,000(estimated)","$26,118,851","$26,118,851",Carolco Pictures
20,Gremlins 2: The New Batch,https://www.imdb.com/title/tt0099700/,1990,6.4,Reviews183 user|112 critic,"90,059",Not Rated,1h 46min,Comedy,Fantasy,Horror, ,15 June 1990 (USA),"The Gremlins are back, and this time, they've taken control of a New York City media mogul's high-tech skyscraper.",Joe Dante,Chris Columbus(characters),Charles S. Haas(as Charlie Haas), ,Zach Galligan,Phoebe Cates,John Glover, , ,hulk hogan|gremlin|skyscraper|monster|short skirt,"$50,000,000(estimated)","$41,482,207","$41,482,207","Warner Bros.,Amblin Entertainment"
21,Teenage Mutant Ninja Turtles,https://www.imdb.com/title/tt0100758/,1990,6.8,51,"83,210",Not Rated,1h 33min,Action,Adventure,Comedy, ,30 March 1990 (USA),Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,Steve Barron,Kevin Eastman(characters),Peter Laird(characters),3 more credits»,Judith Hoag,Elias Koteas,Josh Pais, , ,teenage mutant ninja turtles|splinter character|april o'neil character|anthropomorphic animal as protagonist|animal hero,"$13,500,000(estimated)","$135,265,915","$201,965,915","888 Productions,Golden Harvest Company,Image Comics"
22,Wild at Heart,https://www.imdb.com/title/tt0100935/,1990,7.2,52,"80,219",Not Rated,2h 5min,Comedy,Crime,Drama, ,17 August 1990 (USA),Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,David Lynch,Barry Gifford(novel),David Lynch(screenplay), ,Nicolas Cage,Laura Dern,Willem Dafoe, , ,avant garde|surrealism|domineering mother|forbidden love|nonlinear timeline,"$9,500,000(estimated)","$14,560,247","$14,560,247","PolyGram Filmed Entertainment,Propaganda Films"
23,RoboCop 2,https://www.imdb.com/title/tt0100502/,1990,5.8,42,"79,422",Not Rated,1h 57min,Action,Crime,Sci-Fi, ,22 September 1990 (Israel),"Cyborg law enforcer RoboCop returns to protect the citizens of old Detroit but faces a deadly challenge when a rogue OCP member secretly creates a new, evil RoboCop 2.",Irvin Kershner,Edward Neumeier(characters),Michael Miner(characters),3 more credits»,Peter Weller,Nancy Allen,Belinda Bauer, , ,video arcade|throwing food|child swearing|goth|no title at beginning,"$25,000,000(estimated)","$45,681,173","$45,681,173","Orion Pictures,Tobor Productions"
24,Flatliners,https://www.imdb.com/title/tt0099582/,1990,6.6,55,"78,248",Not Rated,1h 55min,Drama,Horror,Sci-Fi, ,10 August 1990 (USA),"Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives.",Joel Schumacher,Peter Filardi, , ,Kiefer Sutherland,Kevin Bacon,Julia Roberts, , ,near death experience|childhood trauma|voice message|stitching one's wound|photography,"$26,000,000(estimated)","$61,489,265","$61,489,265","Columbia Pictures,Stonebridge Entertainment"
25,Days of Thunder,https://www.imdb.com/title/tt0099371/,1990,6.0,60,"76,738",Not Rated,1h 47min,Action,Drama,Sport, ,14 September 1990 (Israel),A young hot-shot stock car driver gets his chance to compete at the top level.,Tony Scott,Robert Towne(story),Tom Cruise(story), ,Tom Cruise,Nicole Kidman,Robert Duvall, , ,ticklishness|motor vehicle|motor car|cool|vehicle,"$60,000,000(estimated)","$82,670,733","$157,920,733","Don Simpson/Jerry Bruckheimer Films,Paramount Pictures"
26,Arachnophobia,https://www.imdb.com/title/tt0099052/,1990,6.4,67,"61,520",Not Rated,1h 49min,Comedy,Fantasy,Horror, ,18 July 1990 (USA),A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill.,Frank Marshall,Don Jakoby(story),Al Williams(story),2 more credits»,Jeff Daniels,Julian Sands,John Goodman, , ,spider|arachnophobia|doctor|small town|spider bite,"$22,000,000(estimated)","$53,208,180","$53,208,180","Hollywood Pictures,Amblin Entertainment,Tangled Web Productions"
27,Darkman,https://www.imdb.com/title/tt0099365/,1990,6.4,65,"56,854",Not Rated,1h 36min,Action,Sci-Fi,Thriller, ,24 August 1990 (USA),A brilliant scientist left for dead returns to exact revenge on the people who burned him alive.,Sam Raimi,Sam Raimi(story),Chuck Pfarrer(screenplay),4 more credits»,Liam Neeson,Frances McDormand,Colin Friels, , ,scientist|mask|prosthetic leg|cult film|fake shemp character,"$16,000,000(estimated)","$33,878,502","$48,878,502","Renaissance Pictures,Universal Pictures"
28,Dick Tracy,https://www.imdb.com/title/tt0099422/,1990,6.1,68,"56,247",Not Rated,1h 45min,Action,Comedy,Crime, ,15 June 1990 (USA),The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,Warren Beatty,Chester Gould(based on characters created by, for the Dick Tracy comic strip distributed by Tribune Media Services, Inc.),Warren Beatty,Madonna,Al Pacino, , ,based on comic strip|detective|police detective|dick tracy|crime boss,"$47,000,000(estimated)","$103,738,726","$162,738,726","Touchstone Pictures,Silver Screen Partners IV,Touchstone Pictures"
29,Cry-Baby,https://www.imdb.com/title/tt0099329/,1990,6.5,63,"53,428",PG-13,1h 25min,Comedy,Musical, , ,13 July 1990 (Israel),"In 1950s Baltimore, a bad boy with a heart of gold wins the love of a good girl, whose boyfriend sets out for revenge.",John Waters,John Waters, , ,Johnny Depp,Ricki Lake,Amy Locane, , ,1950s|forbidden love|dysfunctional family|greaser|teen movie,"$11,000,000(estimated)","$8,266,343","$8,266,343","Universal Pictures,Imagine Entertainment"
30,Look Who's Talking Too,https://www.imdb.com/title/tt0100050/,1990,4.7,Reviews43 user|17 critic,"43,654",Not Rated,1h 21min,Comedy,Family,Romance, ,14 December 1990 (USA),"This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister.",Amy Heckerling,Amy Heckerling,Neal Israel, ,John Travolta,Kirstie Alley,Olympia Dukakis, , ,baby|potty training|childbirth|toddler|sequel,,"$47,789,074","$47,789,074","TriStar Pictures,Big Mouth Production,Hollywood Licensing Group"
31,Child's Play 2,https://www.imdb.com/title/tt0099253/,1990,5.8,37,"43,516",Not Rated,1h 24min,Horror,Thriller, , ,9 November 1990 (USA),"While Andy's mother is admitted to a psychiatric hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind.",John Lafia,Don Mancini(characters),Don Mancini, ,Alex Vincent,Jenny Agutter,Gerrit Graham, , ,killer doll|foster home|serial killer|toy factory|sewing machine,"$13,000,000(estimated)","$28,501,605","$35,763,605",Universal Pictures
32,Bird on a Wire,https://www.imdb.com/title/tt0099141/,1990,6.0,36,"38,941",Not Rated,1h 50min,Action,Comedy, , ,18 May 1990 (USA),An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.,John Badham,Louis Venosta(story),Eric Lerner(story),3 more credits»,Mel Gibson,Goldie Hawn,David Carradine, , ,shot in the ass|bare ass|bmw|bmw 3|sexual attraction,"$20,000,000(estimated)","$70,978,012","$138,697,012","Universal Pictures,Interscope Communications,The Badham-Cohen Group"
33,Night of the Living Dead,https://www.imdb.com/title/tt0100258/,1990,6.9,54,"37,805",Not Rated,1h 32min,Horror, , , ,19 October 1990 (USA),The unburied dead return to life and seek human victims.,Tom Savini,John A. Russo(earlier screenplay),George A. Romero(earlier screenplay), ,Tony Todd,Patricia Tallman,Tom Towles, , ,biker|friends who live together|multiple cameos|bald zombie|leather jacket,"$4,200,000(estimated)","$5,835,247","$5,835,247","21st Century Film Corporation,Columbia Pictures"
34,Another 48 Hrs.,https://www.imdb.com/title/tt0099044/,1990,5.9,23,"37,371",Not Rated,1h 33min,Action,Comedy,Crime, ,8 June 1990 (USA),"Jack Cates once again enlists the aid of ex-con Reggie Hammond--this time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area.",Walter Hill,Roger Spottiswoode(characters),Walter Hill(characters),6 more credits»,Eddie Murphy,Nick Nolte,Brion James, , ,bloody violence|cold blooded killer|female nudity|buddy movie|buddy,"$38,000,000(estimated)","$80,818,974","$153,518,974","Paramount Pictures,Lawrence Gordon Productions,Eddie Murphy Productions"
35,The Rescuers Down Under,https://www.imdb.com/title/tt0100477/,1990,6.9,70,"37,020",Not Rated,1h 17min,Animation,Adventure,Crime, ,16 November 1990 (USA),"The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher.",Hendel Butoy,Jim Cox(animation screenplay by),Karey Kirkpatrick(animation screenplay by),4 more credits»,Bob Newhart,Eva Gabor,John Candy, , ,poacher|australia|rope|platypus|feather,"$30,000,000(estimated)","$27,931,461","$27,931,461","Silver Screen Partners IV,Walt Disney Animation Studios,Walt Disney Pictures"
36,Presumed Innocent,https://www.imdb.com/title/tt0100404/,1990,6.9,72,"36,499",Not Rated,2h 7min,Mystery,Thriller, , ,27 July 1990 (USA),"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else.",Alan J. Pakula,Scott Turow(novel),Frank Pierson(screenplay), ,Harrison Ford,Raul Julia,Greta Scacchi, , ,adultery|neo noir|woman murders a woman|murderess|5th amendment,"$22,000,000(estimated)","$86,303,188","$221,303,188","Warner Bros.,Mirage Enterprises"
37,The Witches,https://www.imdb.com/title/tt0100944/,1990,6.8,Reviews108 user|58 critic,"35,271",Not Rated,1h 31min,Adventure,Comedy,Family, ,2 November 1990 (Israel),"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.",Nicolas Roeg,Roald Dahl(book),Allan Scott(screenplay), ,Anjelica Huston,Mai Zetterling,Jasen Fisher, , ,witch|little boy|hotel|mouse|metamorphosis,,"$10,360,553","$10,360,553","Lorimar Film Entertainment,Jim Henson Productions,The Jim Henson Company"
38,Joe Versus the Volcano,https://www.imdb.com/title/tt0099892/,1990,5.8,45,"33,703",Not Rated,1h 42min,Comedy,Romance, , ,9 March 1990 (USA),"When a hypochondriac learns that he is dying, he accepts an offer to throw himself in a volcano at a tropical island, and along the way there, learns to truly live.",John Patrick Shanley,John Patrick Shanley, , ,Tom Hanks,Meg Ryan,Lloyd Bridges, , ,surrealism|actor playing multiple roles|character name in title|tom hanks|whimsical,"$25,000,000(estimated)","$39,404,261","$39,404,261","Warner Bros.,Amblin Entertainment"
39,Lionheart,https://www.imdb.com/title/tt0100029/,1990,6.2,41,"31,931",R,1h 48min,Action,Crime,Drama, ,11 January 1991 (USA),An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,Sheldon Lettich,S.N. Warren(earlier screenplay),Jean-Claude Van Damme(story),2 more credits»,Jean-Claude Van Damme,Harrison Page,Deborah Rennard, , ,new york city|world trade center|tragic event|bone breaking|lion,"$6,000,000(estimated)","$24,078,196","$24,271,196","Imperial Entertainment Corporation,Guild,Sunil"
40,King of New York,https://www.imdb.com/title/tt0099939/,1990,7.0,66,"30,597",Not Rated,1h 43min,Crime,Thriller, , ,29 August 1991 (Italy),A drug kingpin is released from prison and seeks to take total control of the criminal underworld in order to give back to the community.,Abel Ferrara,Nicholas St. John, , ,Christopher Walken,David Caruso,Laurence Fishburne, , ,mob boss|cult film|prostitute|mini skirt|underwear,"$5,300,000(estimated)","$2,554,476","$2,554,476","Reteitalia,Scena International"
41,Young Guns II,https://www.imdb.com/title/tt0100994/,1990,6.5,47,"30,189",Not Rated,1h 44min,Action,Western, , ,1 August 1990 (USA),"In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.",Geoff Murphy,John Fusco(characters),John Fusco, ,Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips, , ,antihero|cult favorite|numbered sequel|town|rifle,"$20,000,000(estimated)","$44,143,410","$44,143,410","Morgan Creek Entertainment,Eaves Movie Ranch,Film Partners 1"
42,Mermaids,https://www.imdb.com/title/tt0100140/,1990,6.7,56,"27,807",Not Rated,1h 50min,Comedy,Drama,Romance, ,14 December 1990 (USA),"An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds.",Richard Benjamin,Patty Dann(novel),June Roberts(screenplay), ,Cher,Bob Hoskins,Winona Ryder, , ,single mother|swimming pool|year 1964|female protagonist|teenage girl,"$20,000,000(estimated)","$35,419,397","$35,419,397",Orion Pictures
43,Problem Child,https://www.imdb.com/title/tt0100419/,1990,5.5,27,"27,717",Not Rated,1h 21min,Comedy,Family, , ,27 July 1990 (USA),A young boy is just short of a monster. He is adopted by a loving man and his wacky wife. The laughs keep coming as the boy pushes them to the limits.,Dennis Dugan,Scott Alexander,Larry Karaszewski, ,Michael Oliver,John Ritter,Jack Warden, , ,boy|slapstick comedy|mischief|naughty child|mischievous boy,"$10,000,000(estimated)","$53,470,891","$72,270,891","Imagine Entertainment,Universal Pictures"
44,Lord of the Flies,https://www.imdb.com/title/tt0100054/,1990,6.4,49,"27,236",Not Rated,1h 30min,Adventure,Drama,Thriller, ,16 March 1990 (USA),"Stranded on an island, a group of schoolboys degenerate into savagery.",Harry Hook,William Golding(novel) (as Sir William Golding),Jay Presson Allen(screenplay) (as Sara Schiff), ,Balthazar Getty,Chris Furrh,Danuel Pipoly, , ,conch|savagery|twins|sea|cruelty,,"$13,985,225","$13,985,225","Castle Rock Entertainment,Jack's Camp,Nelson Entertainment"
45,Hard to Kill,https://www.imdb.com/title/tt0099739/,1990,5.8,41,"26,733",Not Rated,1h 36min,Action,Crime,Drama, ,9 February 1990 (USA),"Left for dead with his wife killed in their house, L.A. Detective Mason Storm will have to make a quick recovery, expose those behind the murder and take revenge.",Bruce Malmuth,Steven McKay, , ,Steven Seagal,Kelly LeBrock,William Sadler, , ,coma|hospital|revenge|nurse|presumed dead,"$10,000,000(estimated)","$47,410,827","$47,410,827","Warner Bros.,Lee Rich Productions,Adelson / Todman / Simon Productions"
46,Air America,https://www.imdb.com/title/tt0099005/,1990,5.8,33,"26,437",Not Rated,1h 53min,Action,Comedy,War, ,10 August 1990 (USA),A young pilot finds himself recruited unwittingly into a covert and corrupt C.I.A. airlift organization operating in Vietnam War-era Laos.,Roger Spottiswoode,Christopher Robbins(book),John Eskow(screenplay), ,Mel Gibson,Robert Downey Jr.,Nancy Travis, , ,pilot|cia|laos|vietnam war|black comedy,"$35,000,000(estimated)","$31,053,601","$33,461,269","Carolco Pictures,IndieProd Company Productions"
47,Memphis Belle,https://www.imdb.com/title/tt0100133/,1990,6.9,Reviews89 user|25 critic,"26,262",Not Rated,1h 47min,Action,Drama,War, ,7 September 1990 (UK),"In 1943, the crew of a B-17 based in UK prepares for its 25th and last bombing mission over Germany before returning home to the USA.",Michael Caton-Jones,Monte Merrick, , ,Matthew Modine,Eric Stoltz,Tate Donovan, , ,b 17 bomber|engineer|airman|england|warplane,"$23,000,000(estimated)","$27,441,977","$27,441,977","Enigma Productions,Warner Bros.,Fujisankei Communication Group"
48,Pump Up the Volume,https://www.imdb.com/title/tt0100436/,1990,7.2,77,"25,597",Not Rated,1h 42min,Comedy,Drama,Music, ,22 August 1990 (USA),Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens.,Allan Moyle,Allan Moyle, , ,Christian Slater,Samantha Mathis,Anthony Lucero, , ,radio|pirate radio|radio host|four word title|f word,,"$11,541,758","$11,541,758","New Line Cinema,SC Entertainment"
49,The Rookie,https://www.imdb.com/title/tt0100514/,1990,5.9,41,"24,761",Not Rated,2h,Action,Crime,Drama, ,7 December 1990 (USA),A veteran detective gets stuck with a rookie cop when in pursuit of a German crook.,Clint Eastwood,Boaz Yakin,Scott Spiegel, ,Clint Eastwood,Charlie Sheen,Raul Julia, , ,explosion|woman on top|baggage carousel|pitbull|rottweiler,"$10,000,000(estimated)","$21,633,874","$21,633,874","Warner Bros.,Malpaso Productions,Kazanjian/Siebert Productions"
50,The Grifters,https://www.imdb.com/title/tt0099703/,1990,6.9,86,"24,690",Not Rated,1h 50min,Crime,Drama,Thriller, ,25 January 1991 (USA),"A small-time conman has torn loyalties between his estranged mother and new girlfriend, both of whom are high-stakes grifters with their own angles to play.",Stephen Frears,Jim Thompson(novel),Donald E. Westlake(screenplay), ,Anjelica Huston,John Cusack,Annette Bening, , ,hidden money|femme fatale|mother son relationship|con|older woman younger man relationship,,"$13,446,769","$13,446,769",Cineplex Odeon Films
51,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,1991,8.6,85,"1,224,075",18,1h 58min,Crime,Drama,Thriller, ,26 April 1991 (Israel),"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,Thomas Harris(novel),Ted Tally(screenplay), ,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney, , ,serial killer|psycho thriller|bad guy wins|stuck in a well|psychopath,"$19,000,000(estimated)","$130,742,922","$272,753,884","Strong Heart/Demme Production,Orion Pictures"
52,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,1991,8.5,75,"968,862",PG,2h 17min,Action,Sci-Fi, , ,3 July 1991 (USA),"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,James Cameron,William Wisher, ,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong, , ,time travel|liquid metal|future|sequel|voice over narration,"$102,000,000(estimated)","$205,881,154","$520,884,847","Carolco Pictures,Pacific Western,Lightstorm Entertainment"
